mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses,generated_by_osm2gmns,intersection_name,city_name,Shared,Verified
1629,304,1464400472,,424,1,1,6903,2,2,1,175095665,1464400464,right,,,,EBL,"LINESTRING (-114.5893542 35.1205682, -114.5893016 35.1206589)",,,auto,1,Plata & SR 95," Bullhead City, AZ",0,1
1630,304,1464400472,,424,1,1,6913,1,1,1,175095665,1464400473,thru,,,,EBR,"LINESTRING (-114.5893542 35.1205682, -114.5892408 35.1205236)",,,auto,1,Plata & SR 95," Bullhead City, AZ",2,1
1631,304,1464400472,,424,1,1,6916,1,1,1,175095665,1464400465,left,,,,EBT,"LINESTRING (-114.5893542 35.1205682, -114.5891879 35.1206147)",,,auto,1,Plata & SR 95," Bullhead City, AZ",TR,1
1632,304,1464400472,,6902,1,1,423,1,1,1,1464400464,175095665,left,,,,NBL,"LINESTRING (-114.5892408 35.1205236, -114.5893542 35.1205682)",,,auto,1,Plata & SR 95," Bullhead City, AZ",0,1
1633,304,1464400472,,6902,2,2,6913,1,1,1,1464400464,1464400473,right,,,,NBR,"LINESTRING (-114.5892408 35.1205236, -114.5891879 35.1206147)",,,auto,1,Plata & SR 95," Bullhead City, AZ",1,1
1634,304,1464400472,,6902,2,2,6916,2,2,1,1464400464,1464400465,thru,,,,NBT,"LINESTRING (-114.5892408 35.1205236, -114.5893016 35.1206589)",,,auto,1,Plata & SR 95," Bullhead City, AZ",1,1
1635,304,1464400472,,6912,1,1,423,1,1,1,1464400473,175095665,thru,,,,SBL,"LINESTRING (-114.5893016 35.1206589, -114.5891879 35.1206147)",,,auto,1,Plata & SR 95," Bullhead City, AZ",0,1
1636,304,1464400472,,6912,1,1,6903,1,1,1,1464400473,1464400464,left,,,,SBR,"LINESTRING (-114.5893016 35.1206589, -114.5893542 35.1205682)",,,auto,1,Plata & SR 95," Bullhead City, AZ",0,1
1637,304,1464400472,,6912,1,1,6916,2,2,1,1464400473,1464400465,right,,,,SBT,"LINESTRING (-114.5893016 35.1206589, -114.5892408 35.1205236)",,,auto,1,Plata & SR 95," Bullhead City, AZ",TR & T,1
1638,304,1464400472,,6917,2,2,423,1,1,1,1464400465,175095665,right,,,,WBL,"LINESTRING (-114.5891879 35.1206147, -114.5892408 35.1205236)",,,auto,1,Plata & SR 95," Bullhead City, AZ",1,1
1639,304,1464400472,,6917,2,2,6903,2,2,1,1464400465,1464400464,thru,,,,WBR,"LINESTRING (-114.5891879 35.1206147, -114.5893016 35.1206589)",,,auto,1,Plata & SR 95," Bullhead City, AZ",2,1
1640,304,1464400472,,6917,1,1,6913,1,1,1,1464400465,1464400473,left,,,,WBT,"LINESTRING (-114.5891879 35.1206147, -114.5893542 35.1205682)",,,auto,1,Plata & SR 95," Bullhead City, AZ",TL & TR,1
6801,1167,175216725,,1995,1,1,4186,1,1,1,175177322,175263709,left,,,,EBL,"LINESTRING (-114.5687551 35.1459186, -114.5686542 35.1459805)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",0,1
6802,1167,175216725,,1995,1,1,4187,2,2,1,175177322,175212977,right,,,,EBR,"LINESTRING (-114.5687551 35.1459186, -114.5686824 35.1458381)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",2,1
6803,1167,175216725,,1995,1,1,6931,2,2,1,175177322,175207873,thru,,,,EBT,"LINESTRING (-114.5687551 35.1459186, -114.5685809 35.1458999)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",TR,1
6804,1167,175216725,,4185,2,2,1994,1,-1,1,175263709,175177322,right,,,,NBL,"LINESTRING (-114.5686824 35.1458381, -114.5687551 35.1459186)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",0,1
6805,1167,175216725,,4185,2,2,4187,2,2,1,175263709,175212977,thru,,,,NBR,"LINESTRING (-114.5686824 35.1458381, -114.5685809 35.1458999)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",2,1
6806,1167,175216725,,4185,1,1,6931,1,1,1,175263709,175207873,left,,,,NBT,"LINESTRING (-114.5686824 35.1458381, -114.5686542 35.1459805)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",TR,1
6807,1167,175216725,,4188,1,1,1994,1,-1,1,175212977,175177322,left,,,,SBL,"LINESTRING (-114.5686542 35.1459805, -114.5685809 35.1458999)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",0,1
6808,1167,175216725,,4188,2,2,4186,2,2,1,175212977,175263709,thru,,,,SBR,"LINESTRING (-114.5686542 35.1459805, -114.5687551 35.1459186)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",2,1
6809,1167,175216725,,4188,2,2,6931,2,2,1,175212977,175207873,right,,,,SBT,"LINESTRING (-114.5686542 35.1459805, -114.5686824 35.1458381)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",TR,1
6810,1167,175216725,,6932,2,2,1994,1,-1,1,175207873,175177322,thru,,,,WBL,"LINESTRING (-114.5685809 35.1458999, -114.5686824 35.1458381)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",0,1
6811,1167,175216725,,6932,2,2,4186,2,1,1,175207873,175263709,right,,,,WBR,"LINESTRING (-114.5685809 35.1458999, -114.5686542 35.1459805)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",2,1
6812,1167,175216725,,6932,1,1,4187,1,1,1,175207873,175212977,left,,,,WBT,"LINESTRING (-114.5685809 35.1458999, -114.5687551 35.1459186)",,,auto,1,SR 95 & 3rd Street," Bullhead City, AZ",TR,1
9419,1621,175229706,,3156,1,1,6891,1,-1,1,175141227,175193503,left,,,,EBL,"LINESTRING (-114.5676094 35.1531456, -114.5674671 35.1531872)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",0,1
9420,1621,175229706,,3156,1,1,6892,1,1,1,175141227,175231978,thru,,,,EBR,"LINESTRING (-114.5676094 35.1531456, -114.5675379 35.1530606)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",2,1
9421,1621,175229706,,3156,1,1,7166,2,1,1,175141227,175263718,right,,,,EBT,"LINESTRING (-114.5676094 35.1531456, -114.5674358 35.1531245)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",TR,1
9422,1621,175229706,,6890,2,2,3157,1,-1,1,175193503,175141227,right,,,,NBL,"LINESTRING (-114.5675379 35.1530606, -114.5676094 35.1531456)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",0,1
9423,1621,175229706,,6890,1,1,6892,1,2,1,175193503,175231978,left,,,,NBR,"LINESTRING (-114.5675379 35.1530606, -114.5674358 35.1531245)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",2,1
9424,1621,175229706,,6890,2,2,7166,2,2,1,175193503,175263718,thru,,,,NBT,"LINESTRING (-114.5675379 35.1530606, -114.5674671 35.1531872)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",TR,1
9425,1621,175229706,,6893,1,1,3157,1,-1,1,175231978,175141227,thru,,,,SBL,"LINESTRING (-114.5675502 35.1532003, -114.5674358 35.1531245)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",0,1
9426,1621,175229706,,6893,1,1,6891,2,2,1,175231978,175193503,right,,,,SBR,"LINESTRING (-114.5675502 35.1532003, -114.5676094 35.1531456)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",2,1
9427,1621,175229706,,6893,1,1,7166,1,2,1,175231978,175263718,left,,,,SBT,"LINESTRING (-114.5675502 35.1532003, -114.5675379 35.1530606)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",TR,1
9428,1621,175229706,,7167,1,1,3157,1,-1,1,175263718,175141227,left,,,,SBU,"LINESTRING (-114.5675502 35.1532003, -114.5674671 35.1531872)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",,1
9429,1621,175229706,,7167,2,2,6891,2,-1,1,175263718,175193503,thru,,,,WBL,"LINESTRING (-114.5674358 35.1531245, -114.5675379 35.1530606)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",0,1
9430,1621,175229706,,7167,2,2,6892,1,1,1,175263718,175231978,right,,,,WBR,"LINESTRING (-114.5674358 35.1531245, -114.5674671 35.1531872)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",2,1
10920,1917,175215355,,4197,2,2,6846,2,1,1,175119591,175090557,thru,,,,WBT,"LINESTRING (-114.5674358 35.1531245, -114.5676094 35.1531456)",,,auto,1,SR 95 & 7th Street," Bullhead City, AZ",TR,1
10921,1917,175215355,,4197,1,1,6861,1,-1,1,175119591,175175017,left,,,,EBL,"LINESTRING (-114.5981428 35.1074080, -114.5980589 35.1074816)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10922,1917,175215355,,4197,2,2,6951,2,2,1,175119591,175175588,right,,,,EBR,"LINESTRING (-114.5981428 35.1074080, -114.5980522 35.1073374)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10923,1917,175215355,,6847,2,2,4198,2,1,1,175090557,175119591,thru,,,,EBT,"LINESTRING (-114.5981428 35.1074080, -114.5979672 35.1074111)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10924,1917,175215355,,6847,2,2,6861,2,-1,1,175090557,175175017,right,,,,NBL,"LINESTRING (-114.5980522 35.1073374, -114.5981428 35.1074080)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10925,1917,175215355,,6847,1,1,6951,1,2,1,175090557,175175588,left,,,,NBR,"LINESTRING (-114.5980522 35.1073374, -114.5979672 35.1074111)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",2,1
10926,1917,175215355,,6860,2,2,4198,2,2,1,175175017,175119591,right,,,,NBT,"LINESTRING (-114.5980522 35.1073374, -114.5980589 35.1074816)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",TR,1
10927,1917,175215355,,6860,1,1,6846,1,-1,1,175175017,175090557,left,,,,SBL,"LINESTRING (-114.5980589 35.1074816, -114.5979672 35.1074111)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10928,1917,175215355,,6860,2,2,6951,2,3,1,175175017,175175588,thru,,,,SBR,"LINESTRING (-114.5980589 35.1074816, -114.5981428 35.1074080)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10929,1917,175215355,,6952,1,1,4198,1,1,1,175175588,175119591,left,,,,SBT,"LINESTRING (-114.5980589 35.1074816, -114.5980522 35.1073374)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10930,1917,175215355,,6952,2,2,6846,2,1,1,175175588,175090557,right,,,,WBL,"LINESTRING (-114.5979672 35.1074111, -114.5980522 35.1073374)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
10931,1917,175215355,,6952,2,2,6861,2,2,1,175175588,175175017,thru,,,,WBR,"LINESTRING (-114.5979672 35.1074111, -114.5980589 35.1074816)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",0,1
11878,2185,175084962,,4979,1,1,6982,1,1,1,175240053,175084943,left,,,,WBT,"LINESTRING (-114.5979672 35.1074111, -114.5981428 35.1074080)",,,auto,1,SR 95 & Hancock," Bullhead City, AZ",TR & TL,1
